Bank_Code,Bank_Name_in_English
3,STANDARD CHARTERED BANK (HONG KONG) LIMITED
4,HSBC
8,ABN AMRO BANK N.V.
9,CHINA CONSTRUCTION BANK (ASIA) CORPORATION LIMITED
12,BANK OF CHINA (HONG KONG) LIMITED
15,"THE BANK OF EAST ASIA, LIMITED"
16,DBS BANK (HONG KONG) LIMITED
18,CITIC KA WAH BANK LIMITED
20,WING LUNG BANK LIMITED
21,MEVAS BANK  LIMITED
22,OVERSEA-CHINESE BANKING CORPORATION LTD.
24,HANG SENG BANK LTD.
25,SHANGHAI COMMERCIAL BANK LTD.
27,"BANK OF COMMUNICATIONS CO., LTD"
28,PUBLIC BANK (HONG KONG) LIMITED
35,WING HANG BANK LTD.
38,TAI YAU BANK LTD.
39,CHIYU BANKING CORPORATION LTD.
40,"DAH SING BANK, LTD."
41,CHONG HING BANK LIMITED
43,"NANYANG COMMERCIAL BANK, LTD."
54,DEUTSCHE BANK AG
55,"BANK OF AMERICA, N.A."
61,TAI SANG BANK LTD.
65,SUMITOMO MITSUI BANKING CORPORATION
71,UNITED OVERSEAS BANK LTD.
72,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LIMITED
128,FUBON BANK (HONG KONG) LIMITED
203,FIRST COMMERCIAL BANK
214,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED
221,CHINA CONSTRUCTION BANK CORPORATION
222,AGRICULTURAL BANK OF CHINA
225,"FORTIS BANK, HONG KONG BRANCH"
229,"CHINATRUST COMMERCIAL BANK, LTD."
233,CREDIT SUISSE
236,"CATHAY UNITED BANK COMPANY, LIMITED"
238,"CHINA MERCHANTS BANK CO., LTD."
250,CITIBANK (HONG KONG) LIMITED
